"Vitesse en km/h"	"Distance de freinage en m par temps sec"
44	22
124	135
30	8
106	104
87	75
49	23
90	79
87	78
60	44
114	121
34	14
92	85
53	30
106	126
143	185
134	124
104	112
106	110
135	123
66	46
118	147
115	143
57	34
64	46
98	91
134	166
59	39
36	14
60	32
128	158
90	97
53	25
133	200
77	57
123	154
89	79
38	14
81	58
36	14
53	31
143	199
44	17
59	34
135	161
104	106
112	103
70	60
52	36
133	168
126	163
131	132
42	17
39	15
73	56
101	112
82	57
30	11
36	14
69	63
71	47
104	81
108	87
81	76
92	85
90	70
115	118
85	76
120	168
53	27
142	170
47	21
117	124
112	136
142	208
53	25
90	67
48	24
65	36
93	69
90	88
149	211
139	146
30	8
43	18
99	104
75	38
68	54
114	137
30	9
106	128
144	174
75	65
67	49
98	115
74	41
137	174
139	189
125	142
113	105
102	91
101	72
58	37
101	101
75	61
79	54
126	132
75	57
83	51
141	174
121	145
36	11
95	86
38	14
83	73
36	16
56	34
66	49
93	91
52	31
93	86
60	44
55	29
141	206
66	42
74	44
142	166
115	126
50	27
140	209
107	99
111	107
87	68
122	168
46	21
103	106
35	17
71	59
62	35
60	39
63	44
55	33
86	73
65	53
109	103
109	118
135	152
91	69
96	104
42	18
74	67
43	20
73	56
63	43
36	14
59	36
100	105
60	33
123	148
72	44
96	73
114	129
93	83
50	23
50	25
106	106
107	106
61	30
70	44
79	60
137	177
127	142
105	119
118	100
73	42
108	94
120	156
111	119
123	153
124	135
40	15
49	18
92	88
54	37
128	186
78	63
50	21
97	90
119	130
60	31
71	52
78	64
147	177
110	113
80	52
101	102
41	17
137	154
109	132
40	16
140	177
60	36
108	114
112	120
93	73
87	73
64	42
61	43
79	65
60	36
59	28
104	102
84	54
100	88
91	76
95	83
147	183
55	32
116	134
104	107
86	75
33	12
62	38
50	26
127	161
120	147
86	72
55	27
34	13
130	148
139	167
127	177
55	28
83	80
101	114
118	94
74	63
50	27
136	207
113	140
43	20
36	12
44	16
42	17
120	133
56	36
98	86
107	122
99	95
76	50
79	56
142	210
85	66
136	149
59	30
59	35
33	13
132	178
148	191
106	106
118	138
34	12
147	202
49	30
82	67
100	101
145	242
102	105
150	205
31	9
106	114
43	17
90	66
84	74
122	124
95	101
43	17
90	71
64	41
57	30
87	78
139	195
59	34
92	100
101	89
46	20
138	193
132	196
84	78
131	132
146	172
61	36
94	83
110	122
79	53
43	14
99	97
128	159
91	83
67	46
105	87
35	10
149	160
93	87
103	98
33	10
101	93
110	99
108	139
119	147
87	77
83	71
130	173
77	62
121	148
121	154
64	46
93	93
110	123
80	68
113	145
115	108
